 it |          δμ |              δocc orb |    δimp occ |       δGimp |         δG0 |          δΣ 
  1 | 2.82539e-03 |            1.84565e-02 | 1.84565e-02 | 2.13619e-01 | 3.10890e-01 | 8.33417e-01
  2 | 7.77829e-02 |            8.95659e-03 | 8.95659e-03 | 3.30424e-02 | 1.10423e-02 | 1.46294e-01
  3 | 1.96257e-02 |            6.30936e-03 | 6.30936e-03 | 1.35515e-02 | 3.70902e-03 | 9.72795e-02
  4 | 1.33644e-03 |            4.70045e-04 | 4.70045e-04 | 7.06491e-03 | 1.64653e-03 | 8.39842e-02
  5 | 2.25884e-03 |            2.12855e-03 | 2.12855e-03 | 3.82725e-03 | 9.08626e-04 | 6.50297e-02
  6 | 3.74906e-03 |            1.94290e-03 | 1.94290e-03 | 2.40908e-03 | 6.79285e-04 | 3.69539e-02
  7 | 1.45293e-03 |            1.71519e-03 | 1.71519e-03 | 1.15749e-03 | 3.24627e-04 | 9.69858e-02
  8 | 3.45043e-03 |            1.33539e-03 | 1.33539e-03 | 8.31292e-04 | 4.07497e-04 | 5.15927e-02
  9 | 6.74275e-03 |            3.10843e-03 | 3.10843e-03 | 9.31264e-04 | 7.80952e-04 | 9.21178e-02
 10 | 1.68595e-03 |            7.04304e-04 | 7.04304e-04 | 3.49752e-04 | 1.26365e-04 | 1.33206e-02
